192.168.0.107,172.217.166.174,17,1580276054.964008000,,770
172.217.166.174,192.168.0.107,17,1580276054.996012000,,28
172.217.166.174,192.168.0.107,17,1580276055.038517000,,186
172.217.166.174,192.168.0.107,17,1580276055.038518000,,24
192.168.0.107,172.217.166.174,17,1580276055.038776000,,36
192.168.0.107,8.8.8.8,17,1580276055.100201000,,51
8.8.8.8,192.168.0.107,17,1580276055.105902000,,111
192.168.0.107,173.194.14.6,17,1580276055.106330000,,58
192.168.0.107,151.101.2.49,6,1580276055.282319000,69,
192.168.0.107,151.101.2.49,6,1580276055.282474000,46,
151.101.2.49,192.168.0.107,6,1580276055.285841000,0,
151.101.2.49,192.168.0.107,6,1580276055.285842000,0,
151.101.2.49,192.168.0.107,6,1580276055.285883000,46,
151.101.2.49,192.168.0.107,6,1580276055.293726000,1460,
151.101.2.49,192.168.0.107,6,1580276055.293727000,1328,
151.101.2.49,192.168.0.107,6,1580276055.293727000,1460,
192.168.0.107,151.101.2.49,6,1580276055.293832000,0,
151.101.2.49,192.168.0.107,6,1580276055.294840000,1328,
151.101.2.49,192.168.0.107,6,1580276055.294841000,1460,
192.168.0.107,151.101.2.49,6,1580276055.294901000,0,
151.101.2.49,192.168.0.107,6,1580276055.295202000,1328,
151.101.2.49,192.168.0.107,6,1580276055.299228000,1460,
151.101.2.49,192.168.0.107,6,1580276055.299229000,1328,
151.101.2.49,192.168.0.107,6,1580276055.299229000,1460,
192.168.0.107,151.101.2.49,6,1580276055.299314000,0,
151.101.2.49,192.168.0.107,6,1580276055.310931000,1328,
151.101.2.49,192.168.0.107,6,1580276055.310932000,1460,
151.101.2.49,192.168.0.107,6,1580276055.310933000,1158,
151.101.2.49,192.168.0.107,6,1580276055.310934000,1460,
151.101.2.49,192.168.0.107,6,1580276055.310934000,1328,
151.101.2.49,192.168.0.107,6,1580276055.310935000,1460,
151.101.2.49,192.168.0.107,6,1580276055.310935000,1328,
151.101.2.49,192.168.0.107,6,1580276055.310935000,1460,
151.101.2.49,192.168.0.107,6,1580276055.310936000,1328,
151.101.2.49,192.168.0.107,6,1580276055.310936000,1460,
151.101.2.49,192.168.0.107,6,1580276055.310937000,1328,
151.101.2.49,192.168.0.107,6,1580276055.310937000,1460,
151.101.2.49,192.168.0.107,6,1580276055.310938000,1328,
151.101.2.49,192.168.0.107,6,1580276055.310938000,1460,
151.101.2.49,192.168.0.107,6,1580276055.310938000,1158,
151.101.2.49,192.168.0.107,6,1580276055.310939000,1460,
192.168.0.107,151.101.2.49,6,1580276055.311191000,0,
151.101.2.49,192.168.0.107,6,1580276055.313428000,1460,
151.101.2.49,192.168.0.107,6,1580276055.313428000,1460,
151.101.2.49,192.168.0.107,6,1580276055.313429000,1460,
151.101.2.49,192.168.0.107,6,1580276055.313430000,1460,
151.101.2.49,192.168.0.107,6,1580276055.313430000,1460,
151.101.2.49,192.168.0.107,6,1580276055.313431000,1460,
151.101.2.49,192.168.0.107,6,1580276055.313431000,1460,
151.101.2.49,192.168.0.107,6,1580276055.313432000,1460,
151.101.2.49,192.168.0.107,6,1580276055.313432000,1460,
192.168.0.107,151.101.2.49,6,1580276055.313536000,0,
151.101.2.49,192.168.0.107,6,1580276055.313769000,1460,
151.101.2.49,192.168.0.107,6,1580276055.313769000,353,
151.101.2.49,192.168.0.107,6,1580276055.313769000,1460,
151.101.2.49,192.168.0.107,6,1580276055.313770000,1460,
192.168.0.107,151.101.2.49,6,1580276055.313840000,0,
151.101.2.49,192.168.0.107,6,1580276055.314085000,1460,
151.101.2.49,192.168.0.107,6,1580276055.314085000,1460,
192.168.0.107,151.101.2.49,6,1580276055.314167000,0,
151.101.2.49,192.168.0.107,6,1580276055.314238000,1460,
192.168.0.107,151.101.2.49,6,1580276055.314278000,0,
151.101.2.49,192.168.0.107,6,1580276055.317325000,1460,
151.101.2.49,192.168.0.107,6,1580276055.317325000,1460,
151.101.2.49,192.168.0.107,6,1580276055.317326000,1460,
151.101.2.49,192.168.0.107,6,1580276055.317327000,328,
192.168.0.107,151.101.2.49,6,1580276055.317385000,0,
192.168.0.107,72.247.219.30,6,1580276055.322902000,1,
72.247.219.30,192.168.0.107,6,1580276055.328488000,0,
192.168.0.107,151.101.10.133,6,1580276055.334871000,1,
192.168.0.107,13.235.224.156,6,1580276055.334968000,1,
13.235.224.156,192.168.0.107,6,1580276055.339407000,0,
151.101.10.133,192.168.0.107,6,1580276055.393329000,0,
192.168.0.107,151.101.41.188,6,1580276056.132817000,1,
192.168.0.107,151.101.25.188,6,1580276056.157789000,1,
151.101.41.188,192.168.0.107,6,1580276056.383450000,0,
151.101.25.188,192.168.0.107,6,1580276056.417343000,0,
192.168.0.107,162.247.242.19,6,1580276056.603068000,1,
192.168.0.107,173.194.14.6,17,1580276056.607080000,,58
192.168.0.107,52.203.87.155,6,1580276056.608046000,1,
52.203.87.155,192.168.0.107,6,1580276056.819411000,0,
162.247.242.19,192.168.0.107,6,1580276056.821101000,0,
104.16.174.188,192.168.0.107,6,1580276057.130565000,0,
192.168.0.107,104.16.174.188,6,1580276057.130620000,0,
23.58.57.98,192.168.0.107,6,1580276057.277543000,0,
192.168.0.107,23.58.57.98,6,1580276057.277601000,0,
104.17.209.240,192.168.0.107,6,1580276057.790585000,0,
192.168.0.107,104.17.209.240,6,1580276057.790655000,0,
192.168.0.107,172.217.166.174,17,1580276057.807006000,,1358
192.168.0.107,172.217.166.174,17,1580276057.807202000,,717
192.168.0.107,172.217.166.174,17,1580276057.807327000,,1358
192.168.0.107,172.217.166.174,17,1580276057.807413000,,1358
192.168.0.107,172.217.166.174,17,1580276057.807519000,,1358
192.168.0.107,172.217.166.174,17,1580276057.807633000,,1358
192.168.0.107,172.217.166.174,17,1580276057.807712000,,1358
